numUsuario,periodo,anio,lecturaActual,consumoMedidor,precio,importeConsumo,coutaFija,recargos,cooperacion,bonificaciones,sanciones,varios,totalPagar,fechaPAgo,notas,aviso,status
324,6,2019,4161,7,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
325,4,2019,1902,19,4,76,0,0,0,0,0,0,76,2019-09-21,,,1
325,5,2019,1926,24,4,96,0,0,0,0,0,0,96,2019-10-06,,,1
325,6,2019,1936,10,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
326,4,2019,76,2,4,0,0,0,0,0,0,0,0,2019-11-11,,,1
326,5,2019,76,0,4,0,0,0,0,0,0,0,0,NULL,,"Sin aviso",1
326,6,2019,76,0,4,0,0,0,0,0,0,0,0,NULL,,"Sin aviso",1
327,4,2019,4651,23,4,92,0,0,0,0,0,0,92,2019-09-28,,,1
327,5,2019,4680,29,4,116,0,0,0,0,0,0,116,2019-10-06,,,1
327,6,2019,4698,18,4,72,0,0,0,0,0,0,72,NULL,,"Sin aviso",0
328,4,2019,3835,15,4,60,0,0,0,0,0,0,60,2019-09-21,,,1
328,5,2019,3858,23,4,92,0,0,0,0,0,0,92,2019-10-06,,,1
328,6,2019,3871,13,4,52,0,0,0,0,0,0,52,NULL,,"Sin aviso",0
329,4,2019,1189,8,4,0,40,0,0,0,0,0,40,2019-09-28,,,1
329,5,2019,1197,8,4,0,40,0,0,0,0,0,40,2019-10-06,,,1
329,6,2019,1203,6,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
330,4,2019,1489,5,4,0,0,0,0,0,0,0,0,2019-11-11,,,1
330,5,2019,1497,8,4,0,40,0,0,0,0,0,40,2019-11-16,,"Sin aviso",1
330,6,2019,1499,2,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
331,4,2019,2072,13,4,52,0,0,0,0,0,0,52,2019-09-21,,,1
331,5,2019,2087,15,4,60,0,0,0,0,0,0,60,2019-10-06,,,1
331,6,2019,2099,12,4,48,40,0,0,0,0,0,88,NULL,,"Sin aviso",0
332,4,2019,749,6,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
332,5,2019,749,0,4,0,40,0,0,0,50,0,90,2019-10-06,"FALTO REUNION 14 SEPT",,1
332,6,2019,755,6,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
333,4,2019,344,12,4,48,0,50,0,0,0,0,98,2019-09-28,"pago recibo atrasado",,1
333,5,2019,357,13,4,52,0,0,0,0,0,0,52,2019-10-06,,,1
333,6,2019,370,13,4,52,40,0,0,0,0,0,92,NULL,,"Sin aviso",0
334,4,2019,128,21,4,84,0,0,0,0,0,0,84,2019-09-21,,,1
334,5,2019,155,27,4,108,0,0,0,0,0,0,108,2019-10-06,,,1
334,6,2019,184,29,4,116,40,0,0,0,0,0,156,NULL,,"Sin aviso",0
335,4,2019,2959,15,4,60,0,0,0,0,0,0,60,2019-09-21,,,1
335,5,2019,2983,24,4,96,0,0,0,0,0,0,96,2019-10-06,,,1
335,6,2019,3001,18,4,72,40,0,0,0,0,0,112,NULL,,"Sin aviso",0
336,4,2019,4765,11,4,44,0,0,0,0,0,0,44,2019-09-28,,,1
336,5,2019,4777,12,4,48,0,0,0,0,50,0,98,2019-10-06,"FALTO REUNION 14 SEPT",,1
336,6,2019,4786,9,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
337,4,2019,26,9,4,0,40,0,0,0,0,0,40,2019-09-28,,,1
337,5,2019,39,13,4,52,0,0,0,0,0,0,52,2019-10-06,,,1
337,6,2019,47,8,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
338,4,2019,963,9,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
338,5,2019,981,18,4,72,0,0,0,0,0,0,72,2019-10-06,,,1
338,6,2019,982,1,4,0,40,0,0,0,0,0,40,NULL,,"Sin aviso",0
339,4,2019,833,25,4,100,0,50,0,0,0,0,150,2019-09-28,"pago recibo atrasado",,1
339,5,2019,862,29,4,116,0,0,0,0,0,0,116,2019-10-06,,,1
339,6,2019,879,17,4,68,40,0,0,0,0,0,108,NULL,,"Sin aviso",0
340,4,2019,290,7,4,0,40,0,0,0,0,0,40,2019-09-21,,,1
